Link;Titulo;Data
https://www.corinthians.com.br/noticias/apos-exames-ruan-oliveira-tem-ruptura-de-cruzado-confirmada;Após exames, Ruan Oliveira tem ruptura de cruzado confirmada;08.12.2023 12:58
https://www.corinthians.com.br/noticias/teatro-corinthians-recebe-o-espetaculo-magic-show-especial-de-natal;Teatro Corinthians recebe o espetáculo “Magic Show – Especial de Natal”;07.12.2023 17:03
https://www.corinthians.com.br/noticias/futebol-feminino-lucas-piccinato-e-o-novo-treinador-do-corinthians;Futebol feminino: Lucas Piccinato é o novo treinador do Corinthians;07.12.2023 11:58
https://www.corinthians.com.br/noticias/nota-de-pesar-wilson-abussamra-bugarib;Nota de Pesar - Wilson Abussamra Bugarib;07.12.2023 11:12
https://www.corinthians.com.br/noticias/corinthians-bate-coritiba-por-2-a-0-e-encerra-sua-participacao-no-brasileirao-2023;Corinthians bate Coritiba por 2 a 0 e encerra sua participação no Brasileirão 2023;06.12.2023 23:43
https://www.corinthians.com.br/noticias/ingressos-corinthians-x-magnus-8-12-campeonato-estadual-de-futsal-2023;Ingressos: Corinthians x Magnus (8/12) – Campeonato Estadual de Futsal 2023;06.12.2023 12:00
https://www.corinthians.com.br/noticias/nota-memorial-corinthians-11;Nota – Memorial Corinthians;05.12.2023 17:00
https://www.corinthians.com.br/noticias/atleta-do-timao-e-campeao-mundial-jr-de-surfe-no-rio-de-janeiro;Atleta do Timão é Campeão Mundial JR de Surfe, no Rio de Janeiro;05.12.2023 15:44
https://www.corinthians.com.br/noticias/neo-quimica-arena-foi-palco-do-ix-forum-do-chute-inicial-em-novembro;Neo Química Arena foi palco do IX Fórum do Chute Inicial em novembro;05.12.2023 15:39
https://www.corinthians.com.br/noticias/futebol-masculino-corinthians-faz-ultimo-treino-de-2023-de-olho-no-coritiba;Futebol masculino: Corinthians faz último treino de 2023 de olho no Coritiba;05.12.2023 13:24
