Link;Titulo;Data
https://www.palmeiras.com.br/noticias/palestra-1914-clube-lanca-nova-colecao-com-mix-de-produtos-masculinos-e-femininos/;Palestra 1914: clube lança nova coleção com mix de produtos masculinos e femininos;08/12/2023 16:59
https://www.palmeiras.com.br/noticias/campanha-sobre-desaparecimento-de-pessoas-no-twitter-do-palmeiras-ganha-premios-internacionais/;Campanha sobre desaparecimento de pessoas no Twitter do Palmeiras ganha prêmios internacionais;07/12/2023 18:36
https://www.palmeiras.com.br/noticias/campanha-do-dodeca-brasileiro-tem-recorde-de-atletas-revelados-pelo-verdao/;Campanha do dodeca brasileiro tem recorde de atletas revelados pelo Verdão;07/12/2023 18:03
https://www.palmeiras.com.br/noticias/dentro-e-fora-de-campo-palmeiras-e-avanti-brilham-em-2023-e-finalizam-temporada-com-novas-conquistas/;Dentro e fora de campo: Palmeiras e Avanti brilham em 2023 e finalizam temporada com novas conquistas;07/12/2023 13:48
https://www.palmeiras.com.br/noticias/palmeiras-empata-com-cruzeiro-e-conquista-titulo-do-campeonato-brasileiro/;Palmeiras empata com Cruzeiro e conquista título do Campeonato Brasileiro;07/12/2023 01:17
https://www.palmeiras.com.br/noticias/abel-ferreira-se-isola-como-segundo-treinador-com-mais-titulos-na-historia-do-palmeiras/;Abel Ferreira se isola como segundo treinador com mais títulos na história do Palmeiras;07/12/2023 01:11
https://www.palmeiras.com.br/noticias/palmeiras-conquista-segundo-titulo-brasileiro-consecutivo-e-amplia-hegemonia-com-12-no-total/;Palmeiras conquista segundo título brasileiro consecutivo e amplia hegemonia com 12 no total;07/12/2023 00:58
https://www.palmeiras.com.br/noticias/verdao-vence-retro-nos-penaltis-e-conquista-a-aldeia-cup-na-categoria-sub-15/;Verdão vence Retrô nos pênaltis e conquista a Aldeia Cup na categoria Sub-15;06/12/2023 13:42
https://www.palmeiras.com.br/noticias/cruzeiro-x-palmeiras-informacoes-estatisticas-e-curiosidades/;Cruzeiro x Palmeiras: informações, estatísticas e curiosidades;05/12/2023 15:39
https://www.palmeiras.com.br/noticias/palmeiras-fecha-preparacao-para-jogo-contra-cruzeiro-e-mayke-comenta-possivel-marca-historica/;Palmeiras fecha preparação para jogo contra Cruzeiro e Mayke comenta possível marca histórica;05/12/2023 13:20
https://www.palmeiras.com.br/noticias/apos-titulo-do-paulista-sub-14-do-verdao-disputa-a-copa-umbro/;Após título do Paulista, Sub-14 do Verdão disputa a Copa Umbro;05/12/2023 11:44
https://www.palmeiras.com.br/noticias/palmeiras-pay-atinge-meio-milhao-de-contas-e-cria-solucoes-de-pagamento-para-pessoa-juridica/;Palmeiras Pay atinge meio milhão de contas e cria soluções de pagamento para Pessoa Jurídica;05/12/2023 11:00
https://www.palmeiras.com.br/noticias/judocas-do-verdao-sao-campeas-da-seletiva-nacional-sub-18-e-sub-21/;Judocas do Verdão são campeãs da Seletiva Nacional Sub-18 e Sub-21;04/12/2023 17:36
https://www.palmeiras.com.br/noticias/palestra-disputa-a-mgf-cup-competicao-sub-16-em-maringa-pr/;Palestra disputa a MGF Cup, competição Sub-16 em Maringá-PR;04/12/2023 17:32
https://www.palmeiras.com.br/noticias/projeto-comunidade-na-academia-verdao-recebe-manchester-da-brasilandia-no-ct-da-base/;Projeto Comunidade na Academia: Verdão recebe Manchester da Brasilândia no CT da Base;04/12/2023 17:04
https://www.palmeiras.com.br/noticias/iniciacao-de-futsal-do-palmeiras-vence-corinthians-e-e-tricampea-do-torneio-uniao-de-clubes/;Iniciação de futsal do Palmeiras vence Corinthians e é tricampeã do Torneio União de Clubes;04/12/2023 14:39
